count,State,Crop_Year,,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Precipitation_val,Temperature_val,DTR,EVI,FPAR,LAI,NDMI,NDVI,VHI,Yield,Avg_Yield,Yield_Anomaly
1,Andhra Pradesh,2000,,rice,kharif,3003673,8233806,935.6,294870578.4,780954.98,712.3819182877145,27.313795006793477,10.29286566,0.319293554,0.343457947,0.949355782,0.51417124,0.498724132,0.600056129,2.7,2.894435315,-0.194435315
2,Andhra Pradesh,2001,,rice,kharif,2426073,6500545,928.4,247774835.5,630778.98,708.4270144787657,27.821565047554348,8.781375129,0.281821157,0.341458498,0.953399209,0.518244474,0.434132562,0.58821297,2.627272727,2.894435315,-0.267162588
3,Andhra Pradesh,2002,,rice,kharif,2109301,5054013,648.1,199687525.7,527325.25,470.7678838147903,27.915975819463316,11.0318027,0.301316198,0.337380835,0.903095823,0.517479927,0.463704959,0.545697099,2.202727273,2.894435315,-0.691708042
4,Andhra Pradesh,2003,,rice,kharif,2108904,5841539,826,208739317.9,506136.96,658.1446201881474,27.93543011209239,9.464395589,0.308267273,0.324383399,0.887312253,0.520488526,0.47910876,0.576953592,2.670909091,2.894435315,-0.223526224
5,Andhra Pradesh,2004,,rice,kharif,2215067,6392717,781.8,239980358.8,465164.07,584.2628615758504,27.471950365149457,9.593678498,0.323229752,0.356007905,0.978221344,0.513606235,0.49885686,0.599404403,2.720454545,2.894435315,-0.17398077
6,Andhra Pradesh,2005,,rice,kharif,2526108,6376990,1075.5,302930871.4,530482.68,909.7837378952005,27.588941491168477,9.374934718,0.310540826,0.321201581,0.871067194,0.519169854,0.47959124,0.593851235,2.549090909,2.894435315,-0.345344406
7,Andhra Pradesh,2006,,rice,kharif,2640870,6949186,845.2,337265507.7,580991.4,738.9046226000494,27.82431911892361,8.993849545,0.315392231,0.339391304,0.932964427,0.518279629,0.48837405,0.583138639,2.689090909,2.894435315,-0.205344406
8,Andhra Pradesh,2007,,rice,kharif,2578000,8191000,1004.2,343905200,412480,890.0881231863699,27.311170789930557,9.313186341,0.337522975,0.348758893,0.960909091,0.518599792,0.51689686,0.635681997,3.094545455,2.894435315,0.20011014
9,Andhra Pradesh,2008,,rice,kharif,2803076,8379635,944.6,400951991,252276.84,729.4613314844344,27.447517903645835,9.519927361,0.306472727,0.335328063,0.907786561,0.513186532,0.476213884,0.588087073,2.913636364,2.894435315,0.019201049
10,Andhra Pradesh,2009,,rice,kharif,2062870,5956396,711,321436403.4,350687.9,583.6327056622375,27.648928493923613,9.960335278,0.306684298,0.336545455,0.923438735,0.519055611,0.475258182,0.559701786,2.790909091,2.894435315,-0.103526224
11,Andhra Pradesh,2010,,rice,kharif,2921793,7509866,1297,485339035.2,701230.32,946.1346898943024,26.662635633680555,7.296631115,0.361049421,0.359090909,0.994743083,0.513941843,0.54220595,0.673052283,2.666818182,2.894435315,-0.227617133
12,Andhra Pradesh,2011,,rice,kharif,2873949,8563334,861.9,481443936.5,948403.17,582.0882937750252,26.754215494791666,9.984954332,0.329664132,0.348774704,0.967628458,0.511506974,0.50243438,0.599284351,2.909090909,2.894435315,0.014655594
13,Andhra Pradesh,2012,,rice,kharif,2487000,7167000,968.7,375039600,770970,765.3219955513334,26.481016710069444,9.525359114,0.323542149,0.348782609,0.962055336,0.515933095,0.505538182,0.592373924,2.969545455,2.894435315,0.07511014
14,Andhra Pradesh,2013,,rice,kharif,1705555,4356822,1062.3,246435642,460499.85,756.9175928459381,26.212467447916666,8.491636682,0.335495537,0.338913043,0.949288538,0.510842621,0.516491405,0.640026124,2.715384615,2.894435315,-0.1790507
15,Andhra Pradesh,2014,,rice,kharif,1634921,5097447,687.6,246807674.2,539523.93,579.6343426177198,27.082731119791667,8.997224101,0.319058017,0.345632411,0.953399209,0.511376547,0.490117025,0.582362133,3.184615385,2.894435315,0.29018007
16,Andhra Pradesh,2015,,rice,kharif,1398884,4115558,940.7,220897772.4,461631.72,818.2543614927032,27.472303602430557,8.762636446,0.337117025,0.351268775,0.987114625,0.510262793,0.521599504,0.60101878,3.091538462,2.894435315,0.197103147
17,Andhra Pradesh,2016,,rice,kharif,1519656,5233690,890,232887282,531879.6,569.1491713404818,27.53737793,11.34386365,0.326586777,0.337869565,0.928023715,0.512889756,0.49939124,0.589877267,3.361538462,2.894435315,0.467103147
18,Andhra Pradesh,2017,,rice,kharif,1476928,4941933,868.2,232527544.3,561232.64,780.4787721135046,27.76686469184028,8.37594683,0.343790579,0.357778656,1.016719368,0.512662258,0.524405785,0.631974155,3.25,2.894435315,0.355564685
19,Andhra Pradesh,2018,,rice,kharif,1563887,5243250,1220.5,253662471.4,547360.45,533.2839084687927,27.867616102430556,10.26765468,0.296461653,0.331679842,0.902490119,0.517838257,0.464328099,0.550040937,3.263846154,2.894435315,0.369410839
20,Andhra Pradesh,2019,,rice,kharif,1526425,5342033,899.2,262178758,564777.25,747.8019084,28.03761935763889,8.033844197,0.328719339,0.341458498,0.968932806,0.524301109,0.493247438,0.582607144,3.517692308,2.894435315,0.623256993
21,Andhra Pradesh,2020,,rice,kharif,NA,NA,NA,NA,NA,981.1571281819564,27.627897135416667,8.277028475,0.366273554,0.365454545,1.04256917,0.514916191,0.551378678,0.666136326,NA,2.894435315,NA
22,Arunachal Pradesh,2000,,rice,kharif,118601,132690,2157.7,11643060.17,30836.26,1359.6032636451878,16.767635947779606,8.805666748,0.282324047,0.406578548,2.043752781,0.554006143,0.482330792,0.415812599,1.066153846,1.34519314,-0.279039294
23,Arunachal Pradesh,2001,,rice,kharif,119455,134621,2128.5,12199939.15,31058.3,1150.8231796457578,17.243878280907346,8.736037698,0.320387097,0.417173913,2.114446003,0.550798536,0.543904692,0.432479027,1.135384615,1.34519314,-0.209808525
24,Arunachal Pradesh,2002,,rice,kharif,124584,152500,2832.8,11794367.28,31146,1564.6679660475306,16.866580360814144,8.914039632,0.320541935,0.449136879,2.291891892,0.552000823,0.554821408,0.453624544,1.182666667,1.34519314,-0.162526473
25,Arunachal Pradesh,2003,,rice,kharif,119205,154589,2782.2,11798910.9,28609.2,1700.5490267637529,17.403816089295503,8.132170109,0.291168915,0.331921459,1.603085554,0.557673641,0.490471848,0.423947535,1.201333333,1.34519314,-0.143859807
26,Arunachal Pradesh,2004,,rice,kharif,121642,134950,2939.5,13178694.28,25544.82,1485.1884789928272,16.70957116913377,8.555759424,0.292054252,0.376234222,1.864025245,0.562770128,0.495479472,0.433369296,1.080625,1.34519314,-0.26456814
27,Arunachal Pradesh,2005,,rice,kharif,122267,146191,2767,14662258.64,25676.07,1506.3194150371771,17.45804421943531,8.98065073,0.328648094,0.413366059,2.092215989,0.561422964,0.550534897,0.459497944,1.16125,1.34519314,-0.18394314
28,Arunachal Pradesh,2006,,rice,kharif,123038,144635,1940,15713182.98,27068.36,912.6703387007378,17.15573387815241,8.91089419,0.355213783,0.431865358,2.182819074,0.544627354,0.617880645,0.472509921,1.151875,1.34519314,-0.19331814
29,Arunachal Pradesh,2007,,rice,kharif,124029,158146,3223.9,16545468.6,19844.64,1202.9214167175323,17.33111572265625,9.219699473,0.333284457,0.419712482,2.118863955,0.54569341,0.570714076,0.450081136,1.225625,1.34519314,-0.11956814
30,Arunachal Pradesh,2008,,rice,kharif,126799,164538,2244.4,18137328.96,11411.91,1704.4457985051629,16.798427648711623,7.891574013,0.315359824,0.426886396,2.175806452,0.550995694,0.543265103,0.442709373,1.183125,1.34519314,-0.16206814
